museum,number,Genus,species,mass,wing,bill,tarsus,photo,age,5bar,growth,latitude,longitude,Elevation,Locality string,country,state,Sex,Day,Month,Year
LSUMZ,57801,Cyclarhis,gujanensis,,,,,,a,1.44,2.88,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,5,Nov,1962
LSUMZ,57798,Cyclarhis,gujanensis,,,,,,u,1.43,2.86,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,4,Nov,1962
LSUMZ,57831,Cyclarhis,gujanensis,,,,,,a,1.41,2.82,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,4,Dec,1962
LSUMZ,57829,Cyclarhis,gujanensis,,,,,,a,1.4,2.8,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,3,Dec,1962
LSUMZ,57806,Cyclarhis,gujanensis,,,,,,a,1.39,2.78,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,8,Nov,1962
LSUMZ,57821,Cyclarhis,gujanensis,,,,,,a,1.39,2.78,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,20,Nov,1962
LSUMZ,57816,Cyclarhis,gujanensis,,,,,,a,1.38,2.76,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,13,Nov,1962
LSUMZ,57797,Cyclarhis,gujanensis,,,,,,a,1.37,2.74,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,3,Nov,1962
LSUMZ,57810,Cyclarhis,gujanensis,,,,,,a,1.36,2.72,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,F,10,Nov,1962
LSUMZ,57817,Cyclarhis,gujanensis,,,,,,a,1.35,2.7,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,13,Nov,1962
LSUMZ,57795,Cyclarhis,gujanensis,,,,,,a,1.34,2.68,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,3,Nov,1962
LSUMZ,57814,Cyclarhis,gujanensis,,,,,,a,1.34,2.68,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,12,Nov,1961
LSUMZ,57811,Cyclarhis,gujanensis,,,,,,a,1.3,2.6,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,F,12,Nov,1961
LSUMZ,57825,Cyclarhis,gujanensis,,,,,,u,1.3,2.6,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,25,Nov,1962
LSUMZ,57796,Cyclarhis,gujanensis,,,,,,a,1.29,2.58,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,3,Nov,1962
LSUMZ,57804,Cyclarhis,gujanensis,,,,,,a,1.28,2.56,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,8,Nov,1962
LSUMZ,57807,Cyclarhis,gujanensis,,,,,,a,1.24,2.48,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,9,Nov,1962
